"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12"
1133.38777327627 -645.265333889913 362.533957571783 26.7348808292105 270.804551214313 -570.731421534594 125.287918093282 -218.736410492409 -412.830619194677 457.115107141988 -296.513950672384 -19.216477151194
-645.265333889913 732.092838151303 -185.237243511384 241.804324790936 -481.207244972866 187.966152069124 38.8650849813166 325.788395857428 61.9994961612857 -750.81914615271 514.294703377933 -226.870943890451
362.533957571783 -185.237243511384 1315.64811796918 16.8412773864579 210.349938567981 -251.293555844663 -1009.08953295487 -715.462550506229 149.640129317936 12.9312516361006 -56.9921064059803 -189.064118257658
26.7348808292105 241.804324790936 16.8412773864579 386.481099991352 -230.633166938568 247.368774249101 -126.333056983949 212.933391406474 -441.362318605438 6.52108580399739 73.8109351656282 -397.760342119938
270.804551214313 -481.207244972866 210.349938567981 -230.633166938568 2071.09484627314 -373.318213332912 -788.80012867241 -518.738707607933 -289.674641765744 -272.859312718774 701.355051442594 -316.503993260134
-570.731421534594 187.966152069124 -251.293555844663 247.368774249101 -373.318213332912 1396.83879394795 -205.433243320787 -107.202069122391 426.53734573547 -530.09867393696 -431.73194998184 133.784352570409
125.287918093282 38.8650849813166 -1009.08953295487 -126.333056983949 -788.80012867241 -205.433243320787 1979.2387516562 614.591174983696 -310.943508502083 319.734344290992 -168.406138156351 96.9280392180073
-218.736410492409 325.788395857428 -715.462550506229 212.933391406474 -518.738707607933 -107.202069122391 614.591174983696 620.015711686977 -342.727860339855 -101.488366316048 -17.7359021309909 170.274254871535
-412.830619194677 61.9994961612856 149.640129317936 -441.362318605438 -289.674641765744 426.53734573547 -310.943508502083 -342.727860339855 1148.86059298845 -336.777619507518 201.398239239383 30.0913753326523
457.115107141988 -750.81914615271 12.9312516361006 6.52108580399739 -272.859312718774 -530.09867393696 319.734344290992 -101.488366316048 -336.777619507518 1393.50580113856 -634.928971558268 550.143370819135
-296.513950672384 514.294703377933 -56.9921064059803 73.8109351656282 701.355051442594 -431.73194998184 -168.406138156351 -17.7359021309909 201.398239239383 -634.928971558268 671.808377835641 -507.88273373658
-19.2164771511939 -226.870943890451 -189.064118257658 -397.760342119938 -316.503993260134 133.784352570409 96.9280392180073 170.274254871535 30.0913753326523 550.143370819135 -507.88273373658 622.90795623929
