"school" "t1_g4_bela" "t1_g4_bmath" "t1_g5_bela" "t1_g5_bmath" "t1_g6_bela" "t1_g6_bmath" "t2_g4_bela" "t2_g4_bmath" "t2_g5_bela" "t2_g5_bmath" "t2_g6_bela" "t2_g6_bmath"
"sch01" 19.5104810412016 1.78988096323582 0 0 0 0 0 0 -7.14973112356772 0.361287849452642 0 0
"sch01" 1.78988096323582 19.7358821386416 0 0 0 0 0 0 0.438512543321104 -6.28986327997745 0 0
"sch01" 0 0 16.4964114754187 1.80793501031821 0 0 0 0 0 0 -5.75051242761734 -0.320864508075745
"sch01" 0 0 1.80793501031821 18.9344548889156 0 0 0 0 0 0 -0.130143715519745 -6.39515816603321
"sch01" 0 0 0 0 26.8869544546787 3.31968478493972 0 0 0 0 0 0
"sch01" 0 0 0 0 3.31968478493972 26.144744078223 0 0 0 0 0 0
"sch01" 0 0 0 0 0 0 20.9017894534946 4.01016983640088 0 0 0 0
"sch01" 0 0 0 0 0 0 4.01016983640088 25.1705623495829 0 0 0 0
"sch01" -7.14973112356772 0.438512543321104 0 0 0 0 0 0 18.2599467448711 1.93776739909431 0 0
"sch01" 0.361287849452642 -6.28986327997745 0 0 0 0 0 0 1.93776739909431 20.7807410636434 0 0
"sch01" 0 0 -5.75051242761734 -0.130143715519745 0 0 0 0 0 0 17.7568933078342 2.31403156745004
"sch01" 0 0 -0.320864508075745 -6.39515816603321 0 0 0 0 0 0 2.31403156745004 19.5371170251418
"sch02" 75.8740929380063 6.55119829681085 0 0 0 0 0 0 -24.247030540644 1.19212825745316 0 0
"sch02" 6.55119829681085 78.9435285545663 0 0 0 0 0 0 1.35208034190674 -18.8695898399323 0 0
"sch02" 0 0 31.4217361436546 3.6202850023466 0 0 0 0 0 0 -9.70865734532797 -0.582067134831283
"sch02" 0 0 3.6202850023466 36.9672690688353 0 0 0 0 0 0 -0.219129309704535 -11.5698393737391
"sch02" 0 0 0 0 42.0108663354354 4.53863154190977 0 0 0 0 0 0
"sch02" 0 0 0 0 4.53863154190977 40.8511626222234 0 0 0 0 0 0
"sch02" 0 0 0 0 0 0 43.1970315372221 8.28768432856182 0 0 0 0
"sch02" 0 0 0 0 0 0 8.28768432856182 55.7348166312193 0 0 0 0
"sch02" -24.247030540644 1.35208034190674 0 0 0 0 0 0 75.0686699511368 7.96637708516548 0 0
"sch02" 1.19212825745316 -18.8695898399323 0 0 0 0 0 0 7.96637708516548 83.1229642545736 0 0
"sch02" 0 0 -9.70865734532797 -0.219129309704535 0 0 0 0 0 0 31.4781290457061 4.20733012263643
"sch02" 0 0 -0.582067134831283 -11.5698393737391 0 0 0 0 0 0 4.20733012263643 37.2135562383654
"sch03" 17.9701799063699 1.74554954618973 0 0 0 0 0 0 -7.1725372834515 0.352644599465737 0 0
"sch03" 1.74554954618973 18.6971514997657 0 0 0 0 0 0 0.46662020822195 -6.51213664400673 0 0
"sch03" 0 0 17.833958351804 1.99922239720528 0 0 0 0 0 0 -6.37078927335254 -0.36458916590053
"sch03" 0 0 1.99922239720528 20.9814229850146 0 0 0 0 0 0 -0.13968359698234 -7.0399387862123
"sch03" 0 0 0 0 18.1668611180261 2.24303026009441 0 0 0 0 0 0
"sch03" 0 0 0 0 2.24303026009441 18.1560722765437 0 0 0 0 0 0
"sch03" 0 0 0 0 0 0 19.0575139134803 3.65633132142433 0 0 0 0
"sch03" 0 0 0 0 0 0 3.65633132142433 22.9496303775609 0 0 0 0
"sch03" -7.1725372834515 0.46662020822195 0 0 0 0 0 0 19.3033722731495 2.04849696475684 0 0
"sch03" 0.352644599465737 -6.51213664400673 0 0 0 0 0 0 2.04849696475684 21.3744765226046 0 0
"sch03" 0 0 -6.37078927335254 -0.13968359698234 0 0 0 0 0 0 18.716725378528 2.50165574859463
"sch03" 0 0 -0.36458916590053 -7.0399387862123 0 0 0 0 0 0 2.50165574859463 21.1212075947479
"sch04" 20.6929344376381 2.01002675015787 0 0 0 0 0 0 -8.50220551425178 0.418018999366693 0 0
"sch04" 2.01002675015787 22.9190889351967 0 0 0 0 0 0 0.549555235742739 -7.66957522526283 0 0
"sch04" 0 0 18.3293460837985 2.11183291803551 0 0 0 0 0 0 -6.92191310731717 -0.396129022315734
"sch04" 0 0 2.11183291803551 21.5642402901539 0 0 0 0 0 0 -0.156231081918974 -7.87391846268353
"sch04" 0 0 0 0 17.2352272145376 2.07200298655144 0 0 0 0 0 0
"sch04" 0 0 0 0 2.07200298655144 17.2004895251467 0 0 0 0 0 0
"sch04" 0 0 0 0 0 0 19.0575139134803 3.65633132142433 0 0 0 0
"sch04" 0 0 0 0 0 0 3.65633132142433 23.6450737223354 0 0 0 0
"sch04" -8.50220551425178 0.549555235742739 0 0 0 0 0 0 22.520600985341 2.38991312554964 0 0
"sch04" 0.418018999366693 -7.66957522526283 0 0 0 0 0 0 2.38991312554964 24.9368892763721 0 0
"sch04" 0 0 -6.92191310731717 -0.156231081918974 0 0 0 0 0 0 22.3393173872753 2.9858471838065
"sch04" 0 0 -0.396129022315734 -7.87391846268353 0 0 0 0 0 0 2.9858471838065 25.2091832582475
"sch05" 29.6898624540025 2.88395142413956 0 0 0 0 0 0 -12.1988166074047 0.599766390395691 0 0
"sch05" 2.88395142413956 32.2950798632317 0 0 0 0 0 0 0.791972679608596 -11.0527452884728 0 0
"sch05" 0 0 21.9952153005582 2.53419950164262 0 0 0 0 0 0 -8.3062957287806 -0.475354826778881
"sch05" 0 0 2.53419950164262 25.8770883481847 0 0 0 0 0 0 -0.187477298302768 -9.44870215522024
"sch05" 0 0 0 0 24.0062093345345 2.96400427226761 0 0 0 0 0 0
"sch05" 0 0 0 0 2.96400427226761 23.3435214984134 0 0 0 0 0 0
"sch05" 0 0 0 0 0 0 23.9983508540123 4.60426907142323 0 0 0 0
"sch05" 0 0 0 0 0 0 4.60426907142323 30.0110551091181 0 0 0 0
"sch05" -12.1988166074047 0.791972679608596 0 0 0 0 0 0 30.709910434556 3.25897244393133 0 0
"sch05" 0.599766390395691 -11.0527452884728 0 0 0 0 0 0 3.25897244393133 34.0048490132347 0 0
"sch05" 0 0 -8.3062957287806 -0.187477298302768 0 0 0 0 0 0 23.8799599657081 3.08537542326671
"sch05" 0 0 -0.475354826778881 -9.44870215522024 0 0 0 0 0 0 3.08537542326671 26.0494893668558
"sch06" 29.6898624540025 2.88395142413956 0 0 0 0 0 0 -10.1656805061706 0.499805325329742 0 0
"sch06" 2.88395142413956 30.8909459561347 0 0 0 0 0 0 0.661343645497861 -9.2296906825756 0 0
"sch06" 0 0 32.9928229508373 3.80129925246393 0 0 0 0 0 0 -12.4594435931709 -0.713032240168322
"sch06" 0 0 3.80129925246393 38.8156325222771 0 0 0 0 0 0 -0.281215947454153 -14.1730532328304
"sch06" 0 0 0 0 35.377571650893 4.36800629597331 0 0 0 0 0 0
"sch06" 0 0 0 0 4.36800629597331 34.4009790502934 0 0 0 0 0 0
"sch06" 0 0 0 0 0 0 34.102919634649 6.54290868044354 0 0 0 0
"sch06" 0 0 0 0 0 0 6.54290868044354 41.0677596230037 0 0 0 0
"sch06" -10.1656805061706 0.661343645497861 0 0 0 0 0 0 28.1507512316763 2.98739140693706 0 0
"sch06" 0.499805325329742 -9.2296906825756 0 0 0 0 0 0 2.98739140693706 31.1711115954651 0 0
"sch06" 0 0 -12.4594435931709 -0.281215947454153 0 0 0 0 0 0 34.6259419502767 4.62806313490007
"sch06" 0 0 -0.713032240168322 -14.1730532328304 0 0 0 0 0 0 4.62806313490007 39.0742340502836
"sch07" 42.6791772776285 4.14568017220062 0 0 0 0 0 0 -16.3667456149347 0.804686573780885 0 0
"sch07" 4.14568017220062 47.3661171327398 0 0 0 0 0 0 1.05462266668726 -14.7182800751472 0 0
"sch07" 0 0 36.658692167597 4.22366583607103 0 0 0 0 0 0 -13.8438262146343 -0.792258044631469
"sch07" 0 0 4.22366583607103 43.1284805803078 0 0 0 0 0 0 -0.312462163837947 -15.7478369253671
"sch07" 0 0 0 0 61.1067146697243 6.91600996862442 0 0 0 0 0 0
"sch07" 0 0 0 0 6.91600996862442 54.4682168296312 0 0 0 0 0 0
"sch07" 0 0 0 0 0 0 58.9050430053029 11.3013877207661 0 0 0 0
"sch07" 0 0 0 0 0 0 11.3013877207661 78.028743283707 0 0 0 0
"sch07" -16.3667456149347 1.05462266668726 0 0 0 0 0 0 45.0412019706821 4.77982625109929 0 0
"sch07" 0.804686573780885 -14.7182800751472 0 0 0 0 0 0 4.77982625109929 49.8737785527442 0 0
"sch07" 0 0 -13.8438262146343 -0.312462163837947 0 0 0 0 0 0 43.2824274378459 5.78507891862509
"sch07" 0 0 -0.792258044631469 -15.7478369253671 0 0 0 0 0 0 5.78507891862509 48.8427925628546
"sch08" 22.7622278814019 2.21102942517366 0 0 0 0 0 0 -9.05073490226803 0.44498796706777 0 0
"sch08" 2.21102942517366 26.3145095181888 0 0 0 0 0 0 0.588809181152935 -8.21740202706731 0 0
"sch08" 0 0 19.9956502732347 2.23605838380231 0 0 0 0 0 0 -7.55117793525509 -0.41820072737145
"sch08" 0 0 2.23605838380231 22.8327250131041 0 0 0 0 0 0 -0.165421145561266 -8.33709013695903
"sch08" 0 0 0 0 23.178409012654 2.86179722839631 0 0 0 0 0 0
"sch08" 0 0 0 0 2.86179722839631 24.208096368725 0 0 0 0 0 0
"sch08" 0 0 0 0 0 0 18.5130135159523 3.55186471224078 0 0 0 0
"sch08" 0 0 0 0 0 0 3.55186471224078 22.9496303775609 0 0 0 0
"sch08" -9.05073490226803 0.588809181152935 0 0 0 0 0 0 21.7941299858139 2.31281915375772 0 0
"sch08" 0.44498796706777 -8.21740202706731 0 0 0 0 0 0 2.31281915375772 24.1324734932633 0 0
"sch08" 0 0 -7.55117793525509 -0.165421145561266 0 0 0 0 0 0 23.0839613001845 2.9858471838065
"sch08" 0 0 -0.41820072737145 -8.33709013695903 0 0 0 0 0 0 2.9858471838065 25.2091832582475
"sch09" 40.168637437768 3.9018166326594 0 0 0 0 0 0 -13.7535677436426 0.683325175435338 0 0
"sch09" 3.9018166326594 41.7936327641822 0 0 0 0 0 0 0.894759049791224 -12.6186730818123 0 0
"sch09" 0 0 31.4217361436546 3.6202850023466 0 0 0 0 0 0 -11.3010826241913 -0.646741260923648
"sch09" 0 0 3.6202850023466 36.9672690688353 0 0 0 0 0 0 -0.255071154153426 -12.8553770819323
"sch09" 0 0 0 0 35.377571650893 4.36800629597331 0 0 0 0 0 0
"sch09" 0 0 0 0 4.36800629597331 34.4009790502934 0 0 0 0 0 0
"sch09" 0 0 0 0 0 0 32.3977736529166 5.65069386038306 0 0 0 0
"sch09" 0 0 0 0 0 0 5.65069386038306 35.4676105835032 0 0 0 0
"sch09" -13.7535677436426 0.894759049791224 0 0 0 0 0 0 37.5343349755684 3.77354704034154 0 0
"sch09" 0.683325175435338 -12.6186730818123 0 0 0 0 0 0 3.77354704034154 39.3740356995349 0 0
"sch09" 0 0 -11.3010826241913 -0.255071154153426 0 0 0 0 0 0 32.9770875716921 4.40767917609531
"sch09" 0 0 -0.646741260923648 -12.8553770819323 0 0 0 0 0 0 4.40767917609531 37.2135562383654
"sch10" 45.5244557628038 4.42205885034732 0 0 0 0 0 0 -16.2108718471734 0.797022892125829 0 0
"sch10" 4.42205885034732 47.3661171327398 0 0 0 0 0 0 1.05462266668726 -14.7182800751472 0 0
"sch10" 0 0 29.9934754098521 3.45572659314902 0 0 0 0 0 0 -11.3267669028826 -0.648211127425747
"sch10" 0 0 3.45572659314902 35.2869386566155 0 0 0 0 0 0 -0.255650861321957 -12.8845938480276
"sch10" 0 0 0 0 56.0144884472472 6.91600996862442 0 0 0 0 0 0
"sch10" 0 0 0 0 6.91600996862442 54.4682168296312 0 0 0 0 0 0
"sch10" 0 0 0 0 0 0 34.102919634649 6.54290868044354 0 0 0 0
"sch10" 0 0 0 0 0 0 6.54290868044354 41.0677596230037 0 0 0 0
"sch10" -16.2108718471734 1.05462266668726 0 0 0 0 0 0 45.0412019706821 4.77982625109929 0 0
"sch10" 0.797022892125829 -14.7182800751472 0 0 0 0 0 0 4.77982625109929 49.8737785527442 0 0
"sch10" 0 0 -11.3267669028826 -0.255650861321957 0 0 0 0 0 0 32.9770875716921 4.40767917609531
"sch10" 0 0 -0.648211127425747 -12.8845938480276 0 0 0 0 0 0 4.40767917609531 37.2135562383654
"sch11" 32.5174684020027 3.008203299556 0 0 0 0 0 0 -11.5387074836274 0.567311499140512 0 0
"sch11" 3.008203299556 33.8329408090999 0 0 0 0 0 0 0.711159140873025 -9.92491413658779 0 0
"sch11" 0 0 36.658692167597 4.22366583607103 0 0 0 0 0 0 -13.1152037822852 -0.75056025280876
"sch11" 0 0 4.22366583607103 43.1284805803078 0 0 0 0 0 0 -0.296016786793845 -14.9190034029793
"sch11" 0 0 0 0 35.377571650893 4.36800629597331 0 0 0 0 0 0
"sch11" 0 0 0 0 4.36800629597331 34.4009790502934 0 0 0 0 0 0
"sch11" 0 0 0 0 0 0 35.9975262810184 6.90640360713485 0 0 0 0
